sample	gender	plate	kit
sp001	male	P01	5
sp002	male	P01	5
sp003	female	P01	5
sp004	male	P01	5
sp005	female	P01	5
sp006	female	P01	5
sp007	male	P01	5
sp009	male	P01	5
sp010	male	P01	5
sp012	male	P01	5
sp013	male	P01	5
sp014	female	P01	5
sp015	male	P01	5
sp016	male	P01	5
sp017	male	P01	5
sp018	male	P01	5
sp019	male	P01	5
sp020	male	P01	5
sp021	female	P01	5
sp022	male	P01	5
sp023	male	P01	5
sp024	female	P01	5
sp025	male	P01	5
sp026	male	P01	5
sp027	female	P01	5
sp028	male	P01	5
sp029	female	P01	5
sp030	female	P01	5
sp031	male	P01	5
sp032	female	P01	5
sp033	male	P01	5
sp034	male	P01	5
sp035	female	P01	5
